system:index,ET
2007_06_26,304.6786982959853
2007_07_04,286.2823063464768
2007_07_12,349.8323530261054
2007_07_20,358.015898764391
2007_07_28,
2007_08_05,301.48243609445746
2007_08_13,286.2343989447609
2007_08_21,291.9193435487603
2007_08_29,378.7839619245041
2007_09_06,242.26463975179257
2007_09_14,244.36118792809663
2007_09_22,243.21099710205843
2007_09_30,254.53755432784453
2007_10_08,304.33616067329456
2007_10_16,269.9039783231646
2007_10_24,217.0791539604326
2007_11_01,228.12615226349462
2007_11_09,233.22470852314893
2007_11_17,187.46675465996162
2007_11_25,328.567754684879
2007_12_03,295.5258307662059
2007_12_11,303.75917791443544
2007_12_19,271.6976764443043
2007_12_27,169.0685220154663
2008_01_01,287.8263386396529
2008_01_09,232.5451557515581
2008_01_17,303.3526440297839
2008_01_25,398.33396634416886
2008_02_02,385.75751736213033
2008_02_10,233.5610253379763
2008_02_18,257.7962830779838
2008_02_26,293.1404000648834
2008_03_05,328.7922476799215
2008_03_13,329.9102854251046
2008_03_21,355.3350168228374
2008_03_29,
2008_04_06,392.60471289595824
2008_04_14,373.8011571782395
2008_04_22,275.90702738391536
2008_04_30,292.35026500929325
2008_05_08,239.743594914706
2008_05_16,309.61669407665556
2008_05_24,342.60709331189656
2008_06_01,331.08806223020866
2008_06_09,320.5384713195511
2008_06_17,287.2724259861921
2008_06_25,327.9344087889724
2008_07_03,344.42058097109185
2008_07_11,325.82444785972405
2008_07_19,299.66382353952855
2008_07_27,308.3370547128928
2008_08_04,323.66075914320515
2008_08_12,294.5633437449047
2008_08_20,329.56743255946594
2008_08_28,338.15440202020807
2008_09_05,271.18007294354237
2008_09_13,271.1127072831161
2008_09_21,327.24927023752645
2008_09_29,295.020948624418
2008_10_07,341.934442072441
2008_10_15,321.85513992922006
2008_10_23,206.0925738630191
2008_10_31,280.84048822841993
2008_11_08,277.4933999239358
2008_11_16,305.40520492525155
2008_11_24,323.7057078685216
2008_12_02,269.25810516338214
2008_12_10,247.2519445073943
2008_12_18,206.6444112481143
2008_12_26,
2009_01_01,312.7556840168164
2009_01_09,139.75846686462592
2009_01_17,299.6304376382881
2009_01_25,363.24246734262755
2009_02_02,259.80073715945605
2009_02_10,248.92174741255423
2009_02_18,377.33539882941506
2009_02_26,311.1303034769425
2009_03_06,361.11006263462
2009_03_14,385.8240798310097
2009_03_22,342.033786680124
2009_03_30,355.57345327649375
2009_04_07,357.06290835394975
2009_04_15,299.31564024746507
2009_04_23,271.14701383736866
2009_05_01,304.7974873231068
2009_05_09,317.35162519933345
2009_05_17,299.8704765204724
2009_05_25,321.48972365309317
2009_06_02,324.78483090152935
2009_06_10,318.8493694907012
2009_06_18,273.056618502606
2009_06_26,314.45495612194077
2009_07_04,290.37935206982985
2009_07_12,280.2478782064332
2009_07_20,256.2058730235022
2009_07_28,299.6205239102332
2009_08_05,338.03953462744346
2009_08_13,327.15274719528765
2009_08_21,310.8117773436453
2009_08_29,223.38069416022148
2009_09_06,289.0250958155555
2009_09_14,311.9249073189612
2009_09_22,239.77652629770375
2009_09_30,215.27151668531522
2009_10_08,274.103413820847
2009_10_16,283.4644944982552
2009_10_24,345.7153675636305
2009_11_01,359.90845347892184
2009_11_09,309.0423344250735
2009_11_17,209.89659161907835
2009_11_25,340.2583736043068
2009_12_03,374.19950539268217
2009_12_11,277.93695803084125
2009_12_19,262.6887463995324
2009_12_27,156.84057389200925
2010_01_01,308.7918947429386
2010_01_09,203.83193277310923
2010_01_17,294.74131367793416
2010_01_25,393.7453452266842
2010_02_02,398.4300870259359
2010_02_10,416.0555535106569
2010_02_18,341.752332152439
2010_02_26,384.792865818583
2010_03_06,375.4459590161194
2010_03_14,337.5361606666743
2010_03_22,284.9810065739738
2010_03_30,298.3588072911027
2010_04_07,306.3675211664197
2010_04_15,361.65104692285524
2010_04_23,326.8220132941883
2010_05_01,346.91495134182173
2010_05_09,397.51537277628813
2010_05_17,326.90902565635463
2010_05_25,364.84906497018864
2010_06_02,337.61898774071824
2010_06_10,314.55170049994155
2010_06_18,312.0309582239555
2010_06_26,348.40170436425194
2010_07_04,339.99665177354694
2010_07_12,303.9359087049944
2010_07_20,247.08118741242703
2010_07_28,245.72046585874998
2010_08_05,307.95421080671747
2010_08_13,334.3936906402891
2010_08_21,306.53628428241257
2010_08_29,299.1149694107216
2010_09_06,320.29088523630753
2010_09_14,334.9708301101577
2010_09_22,387.5045733370319
2010_09_30,321.2860497192843
2010_10_08,303.06434319359676
2010_10_16,338.4198441525305
2010_10_24,293.1304346483466
2010_11_01,293.2757412601005
2010_11_09,317.03488452534367
2010_11_17,301.51020503541497
2010_11_25,335.0813254634568
2010_12_03,293.3139211270459
2010_12_11,330.46568287943046
2010_12_19,282.5948141916706
2010_12_27,147.00952582351832
2011_01_01,155.18189627685507
2011_01_09,268.2239052440047
2011_01_17,198.58024483232805
2011_01_25,155.33066361556064
2011_02_02,290.6203573163155
2011_02_10,321.14827819902064
2011_02_18,307.95774973665385
2011_02_26,286.2405592868118
2011_03_06,253.68990202959344
2011_03_14,202.16805702122213
2011_03_22,264.14054588755914
2011_03_30,318.5938474616796
2011_04_07,368.5319108015344
2011_04_15,248.12219994912252
2011_04_23,332.2853488246234
2011_05_01,240.76444187379252
2011_05_09,279.58559218877605
2011_05_17,270.6273373561507
2011_05_25,281.24654174385023
2011_06_02,324.5681820619372
2011_06_10,310.5593243927862
2011_06_18,308.0880647982298
2011_06_26,295.2029404690862
2011_07_04,313.74569402254974
2011_07_12,320.1687759417629
2011_07_20,185.1059351461082
2011_07_28,277.4900829464631
2011_08_05,288.6753252012963
2011_08_13,245.75372982620254
2011_08_21,336.10949749146704
2011_08_29,314.41758012033694
2011_09_06,324.03247678786033
2011_09_14,327.24535580286715
2011_09_22,238.18632223906152
2011_09_30,221.39517229251967
2011_10_08,289.43246716132444
2011_10_16,375.6684607868372
2011_10_24,359.36535493666923
2011_11_01,236.9158185449223
2011_11_09,280.2618953641139
2011_11_17,299.01152403175877
2011_11_25,325.81701505550194
2011_12_03,282.0949029937345
2011_12_11,304.2238057457021
2011_12_19,296.18882828505645
2011_12_27,170.75948799485883
2012_01_01,285.461531393964
2012_01_09,271.6521354848812
2012_01_17,361.8162412588889
2012_01_25,380.1753919793783
2012_02_02,351.61196366015724
2012_02_10,193.8835485919966
2012_02_18,344.9489767459883
2012_02_26,319.9252264845488
2012_03_05,323.97459987414084
2012_03_13,252.86707945011662
2012_03_21,321.5125111555376
2012_03_29,400.293779443693
2012_04_06,378.0592003603735
2012_04_14,341.6611903484909
2012_04_22,326.9360861234327
2012_04_30,323.5836823351605
2012_05_08,282.37144576082056
2012_05_16,284.4800523891492
2012_05_24,319.05980571009263
2012_06_01,320.09677832858773
2012_06_09,319.12138595817845
2012_06_17,359.08123743739895
2012_06_25,283.84918596285246
2012_07_03,291.7873744787319
2012_07_11,314.58888926763353
2012_07_19,302.0999899459766
2012_07_27,324.33665901081736
2012_08_04,328.9110364710049
2012_08_12,299.13317355944815
2012_08_20,308.6765560335247
2012_08_28,314.38079134417274
2012_09_05,309.6362097516098
2012_09_13,319.25635198588765
2012_09_21,221.79536526744863
2012_09_29,224.82774897494758
2012_10_07,265.51344990652154
2012_10_15,279.4193499862173
2012_10_23,291.5985050245874
2012_10_31,288.97864522135876
2012_11_08,275.7716176491282
2012_11_16,326.6229786164423
2012_11_24,365.74292043092504
2012_12_02,295.6383865984422
2012_12_10,349.86402704936995
2012_12_18,300.271393631779
2012_12_26,224.23050010292388
