system:index,Evap_tavg
A20030107_0900,3.606596620332974E-5
A20030107_1200,1.0394438288324729E-5
A20030107_1500,8.35912628016474E-6
A20030107_1800,3.492156250242398E-6
A20030107_2100,-3.387496648133693E-7
A20030108_0000,2.494044217566763E-5
A20030108_0300,1.0665272262249564E-4
A20030108_0600,8.837832846354372E-5
A20030108_0900,4.397354106014474E-5
A20030108_1200,5.6442471296920855E-6
A20030108_1500,-2.010262907659914E-6
A20030108_1800,-3.2737501089792207E-6
A20030108_2100,-3.2414745732674424E-6
A20030109_0000,3.271614299084472E-5
A20030109_0300,1.410733464571687E-4
A20030109_0600,1.5497247400809262E-4
A20030109_0900,7.260479184187637E-5
A20030109_1200,3.811035064310314E-6
A20030109_1500,-1.1245468802490908E-6
A20030109_1800,-2.491851594747718E-6
A20030109_2100,-3.314257436921709E-6
A20030110_0000,2.499770387064067E-5
A20030110_0300,9.164895256752452E-5
A20030110_0600,8.031209751469695E-5
A20030110_0900,3.567940590781795E-5
A20030110_1200,3.176051289294463E-6
A20030110_1500,-2.1632740813986219E-7
A20030110_1800,-2.3803441550649645E-6
A20030110_2100,-2.320550178370021E-6
A20030111_0000,2.3971496287289447E-5
A20030111_0300,1.316875426356901E-4
A20030111_0600,1.5226644015564064E-4
A20030111_0900,6.756853877941488E-5
A20030111_1200,3.509759189950681E-6
A20030111_1500,-1.4765941230264138E-6
A20030111_1800,-6.440851073639984E-7
A20030111_2100,-2.7085334076154547E-7
A20030112_0000,2.7472473871910665E-5
A20030112_0300,8.797678357123962E-5
A20030112_0600,1.220926897747351E-4
A20030112_0900,5.434130172679662E-5
A20030112_1200,4.6088265900302034E-6
A20030112_1500,3.0192614717156917E-6
A20030112_1800,1.5088423676638433E-6
A20030112_2100,-3.4475205995648997E-6
A20030113_0000,2.2727537918503843E-5
A20030113_0300,1.2259303612688615E-4
A20030113_0600,1.5172353705899343E-4
A20030113_0900,7.748513556039704E-5
A20030113_1200,2.7872299731647606E-6
A20030113_1500,4.652944382319741E-7
A20030113_1800,-2.2330210191027343E-6
A20030113_2100,1.883875794449408E-6
A20030114_0000,1.9744418124275627E-5
A20030114_0300,1.2582340542697634E-4
A20030114_0600,1.3158146646083502E-4
A20030114_0900,6.204336245749018E-5
A20030114_1200,3.1955258981426457E-6
A20030114_1500,1.2966579181090157E-6
A20030114_1800,1.6176438732557283E-6
A20030114_2100,3.9103079341765046E-6
A20030115_0000,2.0866082300864745E-5
A20030115_0300,8.329032232304789E-5
A20030115_0600,1.068939791254371E-4
A20030115_0900,5.430948924618308E-5
A20030115_1200,3.96248685403799E-6
A20030115_1500,3.611275895419513E-6
A20030115_1800,7.499218762751442E-7
A20030115_2100,2.223212171665276E-6
A20030116_0000,2.3319998694368162E-5
A20030116_0300,7.861161343661335E-5
A20030116_0600,6.96814177863504E-5
A20030116_0900,3.5957164188409865E-5
A20030116_1200,-1.9990265489262844E-7
A20030116_1500,-4.032652956740836E-6
A20030116_1800,-3.93624778374515E-6
A20030116_2100,-2.89168470139812E-6
A20030117_0000,2.263063849885897E-5
A20030117_0300,7.414152912115577E-5
A20030117_0600,6.0669017462989196E-5
A20030117_0900,3.1148499880773494E-5
A20030117_1200,3.2707300307190473E-6
A20030117_1500,-1.8300453350412156E-6
A20030117_1800,-3.2217415805076235E-6
A20030117_2100,-4.2946321199323695E-6
A20030118_0000,2.255683432902698E-5
A20030118_0300,9.402568796973448E-5
A20030118_0600,8.19335607131974E-5
A20030118_0900,3.611134682187041E-5
A20030118_1200,3.7105945092423446E-6
A20030118_1500,-1.251162046343072E-6
A20030118_1800,-3.6331643516643078E-6
A20030118_2100,2.5904457204211685E-6
A20030119_0000,2.8680058971253167E-5
A20030119_0300,7.127535320814436E-5
A20030119_0600,6.20026518801555E-5
A20030119_0900,3.9729389813985485E-5
A20030119_1200,5.679216804138694E-6
A20030119_1500,2.693022491595293E-6
A20030119_1800,-1.8424403971551987E-6
A20030119_2100,-4.9710594773225E-7
A20030120_0000,2.682996472209756E-5
A20030120_0300,7.770669210351841E-5
A20030120_0600,6.616456709947732E-5
A20030120_0900,2.9085212916263945E-5
A20030120_1200,3.536887555256012E-6
A20030120_1500,2.0931578713439978E-6
A20030120_1800,-2.6472985956192253E-6
A20030120_2100,7.26953037590865E-6
A20030121_0000,2.4522317660810786E-5
A20030121_0300,9.570590469728748E-5
A20030121_0600,1.014911019086649E-4
A20030121_0900,4.524326887164621E-5
A20030121_1200,6.259770626930358E-6
A20030121_1500,-3.5241565274630984E-6
A20030121_1800,-4.536181612998333E-6
A20030121_2100,-4.536938117357578E-6
A20030122_0000,2.671055359725288E-5
A20030122_0300,1.4410832723346065E-4
A20030122_0600,1.4599021148372336E-4
A20030122_0900,4.495446324146422E-5
A20030122_1200,1.1533507159972516E-5
A20030122_1500,1.2031140812868E-5
A20030122_1800,1.2441678038775476E-5
A20030122_2100,1.1974119480314383E-5
A20030123_0000,1.6252103225368028E-5
A20030123_0300,8.183436615930119E-5
A20030123_0600,9.231156861644866E-5
A20030123_0900,4.726639855954778E-5
A20030123_1200,1.402850647845569E-5
A20030123_1500,5.085095241539335E-6
A20030123_1800,4.315176338067555E-6
A20030123_2100,6.379259903418564E-6
A20030124_0000,3.224889944543308E-5
A20030124_0300,1.0615499590546958E-4
A20030124_0600,9.13370485443333E-5
A20030124_0900,4.626088061476519E-5
A20030124_1200,5.708789877119768E-6
A20030124_1500,4.245697887398375E-6
A20030124_1800,4.359826020712219E-6
A20030124_2100,6.289849196451466E-6
A20030125_0000,2.390476583867834E-5
A20030125_0300,7.321317349520596E-5
A20030125_0600,8.061246704139752E-5
A20030125_0900,4.962926256385759E-5
A20030125_1200,-1.0881144101888299E-6
A20030125_1500,-4.0880280983707875E-6
A20030125_1800,-5.234335620751288E-6
A20030125_2100,-5.698679065480592E-6
A20030126_0000,2.3558183492127678E-5
A20030126_0300,1.149881059588852E-4
A20030126_0600,7.72463971429663E-5
A20030126_0900,3.340996444647529E-5
A20030126_1200,2.949426603190727E-6
A20030126_1500,1.0154951972368386E-7
A20030126_1800,-2.9212399087877915E-6
A20030126_2100,-3.422150305551464E-6
A20030127_0000,2.1428128587398212E-5
A20030127_0300,6.954530711830725E-5
A20030127_0600,8.357040117451224E-5
A20030127_0900,3.249276902010196E-5
A20030127_1200,2.217167434705105E-6
A20030127_1500,-2.5742261972639684E-6
A20030127_1800,-4.0264639822689155E-6
A20030127_2100,-4.243049004558527E-6
A20030128_0000,2.75745919077425E-5
A20030128_0300,1.0809798260498831E-4
A20030128_0600,1.0739116514088986E-4
A20030128_0900,4.643514088716814E-5
A20030128_1200,-2.7228074013070177E-6
A20030128_1500,-3.899432712348384E-6
A20030128_1800,-4.269596236136636E-6
A20030128_2100,-4.50807244099599E-6
A20030129_0000,2.019707759417875E-5
A20030129_0300,7.752413906621969E-5
A20030129_0600,9.046869040585945E-5
A20030129_0900,4.5631778712865374E-5
A20030129_1200,1.3483383327102911E-6
A20030129_1500,-1.9917252879694807E-6
A20030129_1800,1.3437788078778644E-7
A20030129_2100,-4.061317252579029E-7
A20030130_0000,2.4013881595894863E-5
A20030130_0300,8.688846626222146E-5
A20030130_0600,8.747960694907925E-5
A20030130_0900,3.3075491106446536E-5
A20030130_1200,1.0165691574348303E-5
A20030130_1500,8.74887087361964E-6
A20030130_1800,3.266866282642831E-6
A20030130_2100,4.719292885995342E-6
A20030131_0000,1.914941731135263E-5
A20030131_0300,9.281317563087972E-5
A20030131_0600,1.1721103828864402E-4
A20030131_0900,6.623996191789602E-5
A20030131_1200,2.7937767493800002E-6
A20030131_1500,1.1841154379565823E-6
A20030131_1800,-2.9091325474339217E-6
A20030131_2100,2.3064778141111884E-6
A20030201_0000,1.9235926344761245E-5
A20030201_0300,8.671563357305524E-5
A20030201_0600,1.2343495349723753E-4
A20030201_0900,7.441272742298424E-5
A20030201_1200,4.510265927259684E-6
A20030201_1500,3.4428594847611473E-6
A20030201_1800,1.0632141081870198E-6
A20030201_2100,-1.556930983191636E-6
A20030202_0000,2.2507067762989992E-5
A20030202_0300,8.78197201490189E-5
A20030202_0600,7.984964603704362E-5
A20030202_0900,4.2334281786147243E-5
A20030202_1200,1.2314113923897647E-5
A20030202_1500,1.0683189746161685E-5
A20030202_1800,1.1239206802446014E-5
A20030202_2100,1.347708228367384E-5
A20030203_0000,2.8969462555757223E-5
A20030203_0300,9.083059486840591E-5
A20030203_0600,8.483934894495985E-5
A20030203_0900,4.6433623250424395E-5
A20030203_1200,8.722063866698077E-6
A20030203_1500,5.6545776481960604E-6
A20030203_1800,4.740792195826717E-6
A20030203_2100,2.2699813859266045E-6
A20030204_0000,3.64635280812557E-5
A20030204_0300,1.37922748587044E-4
A20030204_0600,9.178916019592015E-5
A20030204_0900,4.408232653253516E-5
A20030204_1200,8.973386542984836E-6
A20030204_1500,7.126261519096458E-6
A20030204_1800,7.387787027532747E-6
A20030204_2100,6.059951091607048E-6
A20030205_0000,2.434884904483743E-5
A20030205_0300,9.844671376050027E-5
A20030205_0600,9.069371092592203E-5
A20030205_0900,5.6751550508839495E-5
A20030205_1200,1.4286494454358242E-5
A20030205_1500,1.1011091076943062E-5
A20030205_1800,1.852726339728944E-6
A20030205_2100,1.0744068088655993E-5
A20030206_0000,2.997050765645346E-5
A20030206_0300,7.502354104542931E-5
A20030206_0600,7.669026373454599E-5
A20030206_0900,4.725816598506379E-5
A20030206_1200,5.971160617963973E-6
A20030206_1500,2.569027071534407E-8
A20030206_1800,3.5484451946968633E-6
A20030206_2100,8.594373915431345E-6
A20030207_0000,3.2955266038241315E-5
A20030207_0300,1.298073660466757E-4
A20030207_0600,1.0022726025156492E-4
A20030207_0900,5.600318520728569E-5
A20030207_1200,1.2372055163425564E-5
A20030207_1500,1.08792888932312E-5
A20030207_1800,8.196149221224992E-6
A20030207_2100,1.6743448893743342E-6
A20030208_0000,3.134028145960353E-5
A20030208_0300,1.0421984605867161E-4
A20030208_0600,1.0770343750043389E-4
A20030208_0900,5.451921361607786E-5
A20030208_1200,3.922831460782768E-7
A20030208_1500,-3.783773437063126E-6
A20030208_1800,-4.821404598580449E-7
A20030208_2100,1.4837161001974828E-6
A20030209_0000,3.0337340721496977E-5
A20030209_0300,1.4318563753653655E-4
A20030209_0600,1.378030368471165E-4
A20030209_0900,4.566905688722805E-5
A20030209_1200,6.695834948917952E-6
A20030209_1500,4.957450322704581E-6
A20030209_1800,-1.023441738615111E-6
A20030209_2100,-5.189097930868031E-6
A20030210_0000,2.2818575482391657E-5
A20030210_0300,9.149906538748171E-5
A20030210_0600,1.0342769380767955E-4
A20030210_0900,5.104465938165491E-5
A20030210_1200,9.682577812701067E-6
A20030210_1500,5.502702197945506E-6
A20030210_1800,1.237008803047244E-5
A20030210_2100,1.4646745052806068E-5
A20030211_0000,4.145857901404279E-5
A20030211_0300,1.390444545309655E-4
A20030211_0600,1.400032967998209E-4
A20030211_0900,6.952952772536439E-5
A20030211_1200,5.38770462706127E-6
A20030211_1500,1.3311294957211874E-6
A20030211_1800,-7.534293572014661E-7
A20030211_2100,-2.905687450291902E-6
A20030212_0000,2.8894988703485275E-5
A20030212_0300,1.4460629784540413E-4
A20030212_0600,1.7713620073393785E-4
A20030212_0900,9.382211183458297E-5
A20030212_1200,1.5037762181186615E-5
A20030212_1500,1.2368276104874411E-5
A20030212_1800,1.4267854340106763E-5
A20030212_2100,1.7308805314788746E-5
A20030213_0000,4.088878174678432E-5
A20030213_0300,1.0370779282867247E-4
A20030213_0600,1.2815627310167418E-4
A20030213_0900,5.1493771406597396E-5
A20030213_1200,9.344975514593525E-6
A20030213_1500,6.795627751364852E-6
A20030213_1800,7.5631831663111465E-6
A20030213_2100,9.476360660098351E-6
A20030214_0000,3.554122234741927E-5
A20030214_0300,1.003605920566245E-4
A20030214_0600,1.1278060893884744E-4
A20030214_0900,6.131465335670691E-5
A20030214_1200,1.1387102104032905E-5
A20030214_1500,8.838821692942784E-6
A20030214_1800,8.418006905236192E-6
A20030214_2100,4.914186683024425E-6
A20030215_0000,2.9367576533111208E-5
A20030215_0300,8.486246004274512E-5
A20030215_0600,9.396966556333834E-5
A20030215_0900,4.9609287167194225E-5
A20030215_1200,2.4393130895366987E-6
A20030215_1500,5.308246405366843E-6
A20030215_1800,5.602732916986387E-6
A20030215_2100,5.8676867822167035E-6
A20030216_0000,1.5912584950541075E-5
A20030216_0300,1.1663283192764509E-4
A20030216_0600,1.2836382436839304E-4
A20030216_0900,7.568251399195764E-5
A20030216_1200,4.1509317681005195E-6
A20030216_1500,-2.728401149471714E-7
A20030216_1800,-2.6909176214076187E-6
A20030216_2100,-3.043132021307056E-6
A20030217_0000,2.9386933413029398E-5
A20030217_0300,1.3644255148880042E-4
A20030217_0600,1.3906498596954648E-4
A20030217_0900,7.401420666279395E-5
A20030217_1200,4.977116875323579E-6
A20030217_1500,8.872200782287089E-7
A20030217_1800,-2.641963152230876E-6
A20030217_2100,-4.128600167860545E-6
A20030218_0000,2.4816375001660703E-5
A20030218_0300,1.3465954676306497E-4
A20030218_0600,1.3883770253010565E-4
A20030218_0900,8.762779928094202E-5
A20030218_1200,8.315048097590739E-6
A20030218_1500,-1.8311529494464766E-7
A20030218_1800,-2.843218711976657E-6
A20030218_2100,-3.7772286952014427E-6
A20030219_0000,2.5806352737656992E-5
A20030219_0300,7.307356188779805E-5
A20030219_0600,7.013575916081575E-5
A20030219_0900,3.3060283032327974E-5
A20030219_1200,3.841787089636656E-6
A20030219_1500,2.7356294233004267E-6
A20030219_1800,2.3546215427659108E-6
A20030219_2100,1.066576456978058E-6
A20030220_0000,1.5871384476776846E-5
A20030220_0300,7.466346303966127E-5
A20030220_0600,8.516639425053549E-5
A20030220_0900,3.651583464733418E-5
A20030220_1200,4.4906105035650865E-6
A20030220_1500,2.9031522187039522E-6
A20030220_1800,3.2647591582651128E-6
A20030220_2100,4.1019435850479375E-6
A20030221_0000,2.5066795371535883E-5
A20030221_0300,9.712073256443464E-5
A20030221_0600,8.424625566228447E-5
A20030221_0900,4.80106320916308E-5
A20030221_1200,7.806021466936372E-6
A20030221_1500,5.292202284081449E-6
A20030221_1800,5.657731717418862E-6
A20030221_2100,5.913856146197873E-6
A20030222_0000,2.636820004715512E-5
A20030222_0300,8.011754717006886E-5
A20030222_0600,9.283522419927316E-5
A20030222_0900,4.467175530567805E-5
A20030222_1200,4.677590163886258E-6
A20030222_1500,1.9075686721634948E-6
A20030222_1800,5.517692086999402E-7
A20030222_2100,-9.097910384422074E-7
A20030223_0000,3.65451721307913E-5
A20030223_0300,1.810911099939673E-4
A20030223_0600,1.6141276392201467E-4
A20030223_0900,7.582327915409946E-5
A20030223_1200,1.7289345016385812E-5
A20030223_1500,1.1551509246711952E-5
A20030223_1800,1.1405103798374354E-5
A20030223_2100,8.133172512559202E-6
A20030224_0000,4.120568439441205E-5
A20030224_0300,1.5760536640741914E-4
A20030224_0600,1.771149048773945E-4
A20030224_0900,9.441500001868065E-5
A20030224_1200,1.8986757469061484E-5
A20030224_1500,1.765794489284315E-5
A20030224_1800,1.2389855951388304E-5
A20030224_2100,9.067095575393162E-6
A20030225_0000,4.6116736059698107E-5
A20030225_0300,1.695596042614521E-4
A20030225_0600,1.8497185805817497E-4
A20030225_0900,9.023758082583183E-5
A20030225_1200,1.3599091829359968E-5
A20030225_1500,6.588060794782676E-6
A20030225_1800,3.625372210736758E-6
A20030225_2100,4.013880747850065E-6
A20030226_0000,2.5398793007854925E-5
A20030226_0300,8.140053986228698E-5
A20030226_0600,9.72838372132496E-5
A20030226_0900,3.857570402515881E-5
A20030226_1200,4.387993368616694E-6
A20030226_1500,4.433219411479663E-6
A20030226_1800,5.942034345940573E-6
A20030226_2100,8.20279716934136E-6
A20030227_0000,1.9502848238545962E-5
A20030227_0300,1.2539770373564261E-4
A20030227_0600,1.1236206825001849E-4
A20030227_0900,5.834243501112003E-5
A20030227_1200,1.0710597231211733E-5
A20030227_1500,4.6935699493764015E-6
A20030227_1800,4.2049357558717896E-6
A20030227_2100,5.094751237580412E-6
A20030228_0000,3.211584760024086E-5
A20030228_0300,9.402634278828126E-5
A20030228_0600,8.915264661262167E-5
A20030228_0900,4.499086426638259E-5
A20030228_1200,3.805559272332433E-6
A20030228_1500,2.0588508652695736E-6
A20030228_1800,1.6266270574177556E-6
A20030228_2100,7.320184184141142E-7
A20030301_0000,2.8878804279291702E-5
A20030301_0300,1.539943072729025E-4
A20030301_0600,1.5215716330966314E-4
A20030301_0900,6.596076260443597E-5
A20030301_1200,6.873353657061289E-6
A20030301_1500,1.5407332430525937E-6
A20030301_1800,1.6780959480606783E-6
A20030301_2100,1.712981018941506E-6
A20030302_0000,2.9809332786102347E-5
A20030302_0300,1.4692452934413964E-4
A20030302_0600,1.0520431108842995E-4
A20030302_0900,4.7494168128912935E-5
A20030302_1200,2.8626738520871162E-6
A20030302_1500,-1.591990116970768E-6
A20030302_1800,-2.3901154077485792E-6
A20030302_2100,-2.3452934507644667E-6
A20030303_0000,2.740355818218138E-5
A20030303_0300,1.2590222746613295E-4
A20030303_0600,9.548961047199352E-5
A20030303_0900,3.7693887223358E-5
A20030303_1200,5.3384994837235835E-6
A20030303_1500,2.0065635003314357E-6
A20030303_1800,1.793166346931481E-6
A20030303_2100,-2.8910737222912327E-6
A20030304_0000,2.821597504920156E-5
A20030304_0300,1.3151513890288872E-4
A20030304_0600,1.2240942421547593E-4
A20030304_0900,4.927659828504515E-5
A20030304_1200,6.476198132168395E-6
A20030304_1500,1.8590432038922103E-6
A20030304_1800,1.327875136749583E-6
A20030304_2100,-1.8323663207978445E-6
A20030305_0000,3.270137386433532E-5
A20030305_0300,1.6100553688502034E-4
A20030305_0600,1.2965098365623183E-4
A20030305_0900,5.0407590188108624E-5
A20030305_1200,5.566854890354513E-6
A20030305_1500,-2.467175874771012E-6
A20030305_1800,-2.861182401563975E-6
A20030305_2100,-3.3426032746489316E-6
A20030306_0000,3.58196975751041E-5
A20030306_0300,1.53148311955656E-4
A20030306_0600,1.3120005175621505E-4
A20030306_0900,6.357294770383328E-5
A20030306_1200,7.57396475277449E-6
A20030306_1500,4.79346563498003E-6
A20030306_1800,-1.927992424885418E-6
A20030306_2100,-2.429241974597518E-6
A20030307_0000,3.6631597328245435E-5
A20030307_0300,1.4387403171411901E-4
A20030307_0600,1.319997181507187E-4
A20030307_0900,5.1104529288455353E-5
A20030307_1200,8.550202938710776E-6
A20030307_1500,5.5645178237404895E-6
A20030307_1800,8.833258759436506E-6
A20030307_2100,8.04566604034453E-6
A20030308_0000,4.4441946146869324E-5
A20030308_0300,1.3733577130790834E-4
A20030308_0600,1.3134362503424245E-4
A20030308_0900,7.033395820110262E-5
A20030308_1200,5.461906013024E-6
A20030308_1500,-1.503574652139299E-7
A20030308_1800,2.4201451591743723E-6
A20030308_2100,2.6551687242513584E-6
A20030309_0000,2.9586374543232503E-5
A20030309_0300,1.4994946745138137E-4
A20030309_0600,1.366720689645962E-4
A20030309_0900,6.476319780079984E-5
A20030309_1200,4.454974513247902E-6
A20030309_1500,3.401570878035795E-6
A20030309_1800,3.170877062320807E-6
A20030309_2100,2.123203142140402E-6
A20030310_0000,2.5777170292964128E-5
A20030310_0300,9.640657559189904E-5
A20030310_0600,1.1056797256463573E-4
A20030310_0900,6.915114424548446E-5
A20030310_1200,3.7458916220414355E-6
A20030310_1500,1.884539766706833E-6
A20030310_1800,3.3360447183236247E-6
A20030310_2100,2.2022934815029157E-6
A20030311_0000,2.7197646272922822E-5
A20030311_0300,1.072149431155937E-4
A20030311_0600,1.0509985097346534E-4
A20030311_0900,6.56057413849128E-5
A20030311_1200,5.369119060487281E-6
A20030311_1500,9.923988527835674E-7
A20030311_1800,-9.749793159066592E-7
A20030311_2100,5.681630944450505E-7
A20030312_0000,2.8090280607982993E-5
A20030312_0300,1.1669473931029785E-4
A20030312_0600,1.5015375777494895E-4
A20030312_0900,7.584154524153028E-5
A20030312_1200,5.369729269261487E-6
A20030312_1500,1.1734508991097055E-6
A20030312_1800,-5.324183590655684E-7
A20030312_2100,-3.370488318927771E-6
A20030313_0000,3.217168290166109E-5
A20030313_0300,1.1924132751155246E-4
A20030313_0600,7.708926618568883E-5
A20030313_0900,3.6193466259680446E-5
A20030313_1200,4.864051256286733E-6
A20030313_1500,5.521915719237955E-6
A20030313_1800,6.120544663075862E-6
A20030313_2100,4.7998166214959E-6
A20030314_0000,3.6693671936668045E-5
A20030314_0300,1.2917739158745513E-4
A20030314_0600,1.35429034784905E-4
A20030314_0900,8.482597898223388E-5
A20030314_1200,9.236068036000139E-6
A20030314_1500,4.503521954403735E-6
A20030314_1800,3.756808888319595E-6
A20030314_2100,2.474225835037803E-6
A20030315_0000,1.8305918610446175E-5
A20030315_0300,6.072612811497439E-5
A20030315_0600,7.971901918012674E-5
A20030315_0900,3.663772581059193E-5
A20030315_1200,6.047643643246107E-6
A20030315_1500,6.181147841441025E-6
A20030315_1800,6.770890007152212E-6
A20030315_2100,4.431182346951996E-6
A20030316_0000,3.893573256909472E-5
A20030316_0300,1.427989993334377E-4
A20030316_0600,1.5981882714578754E-4
A20030316_0900,8.708953716300561E-5
A20030316_1200,5.691487959561256E-6
A20030316_1500,1.5924862490326675E-6
A20030316_1800,5.128656881873712E-7
A20030316_2100,-1.9922718886050514E-6
A20030317_0000,3.497102715399875E-5
A20030317_0300,1.5489929543588822E-4
A20030317_0600,1.846372199560381E-4
A20030317_0900,8.13289492444192E-5
A20030317_1200,2.023276020777328E-6
A20030317_1500,-4.58033125944564E-6
A20030317_1800,-2.4036148678432852E-6
A20030317_2100,-4.015889940190599E-6
A20030318_0000,3.7784878520663466E-5
A20030318_0300,1.6381833422536587E-4
A20030318_0600,1.331310026533859E-4
A20030318_0900,5.4907873133185275E-5
A20030318_1200,1.0200074395983517E-5
A20030318_1500,9.240252761205859E-6
A20030318_1800,4.8218466506760625E-6
A20030318_2100,5.229860874340682E-6
A20030319_0000,2.1610361680241263E-5
A20030319_0300,1.173356719755801E-4
A20030319_0600,1.0710694890555756E-4
A20030319_0900,5.343448291562855E-5
A20030319_1200,8.822110940146333E-6
A20030319_1500,7.982558447710737E-6
A20030319_1800,6.482889364622463E-6
A20030319_2100,5.267942537272811E-6
A20030320_0000,2.9967027175737737E-5
A20030320_0300,1.081193216730265E-4
A20030320_0600,1.0597672907750707E-4
A20030320_0900,4.6365115106003655E-5
A20030320_1200,2.8921889834944474E-6
A20030320_1500,4.857472641219555E-6
A20030320_1800,3.904224881941021E-6
A20030320_2100,-8.059540849918301E-7
A20030321_0000,3.889633801978944E-5
A20030321_0300,1.628133704043127E-4
A20030321_0600,1.1363508328571142E-4
A20030321_0900,4.648674655933997E-5
A20030321_1200,5.968884857328024E-6
A20030321_1500,3.032020709842916E-6
A20030321_1800,3.577362419670527E-6
A20030321_2100,6.485761815003627E-6
A20030322_0000,2.9994728489016497E-5
A20030322_0300,8.835475827400485E-5
A20030322_0600,8.695814430343243E-5
A20030322_0900,3.967387815274055E-5
A20030322_1200,7.1481375930924025E-6
A20030322_1500,7.430600621839527E-6
A20030322_1800,1.194570659456182E-5
A20030322_2100,8.114351319402485E-6
A20030323_0000,4.6353416321266715E-5
A20030323_0300,1.5141592730270417E-4
A20030323_0600,1.421983930644109E-4
A20030323_0900,6.455627659298606E-5
A20030323_1200,3.943236929031973E-6
A20030323_1500,1.0695319184576187E-6
A20030323_1800,-4.56645771411253E-7
A20030323_2100,-8.995034855175469E-7
A20030324_0000,3.230262030562224E-5
A20030324_0300,1.331945774291882E-4
A20030324_0600,1.3800694721820793E-4
A20030324_0900,7.142520568972152E-5
A20030324_1200,5.513393286793611E-6
A20030324_1500,4.888086839232418E-6
A20030324_1800,5.407893160701313E-6
A20030324_2100,5.5987147845667876E-6
A20030325_0000,3.686972721276597E-5
A20030325_0300,1.0564088069926449E-4
A20030325_0600,9.184776898519925E-5
A20030325_0900,5.298450677961873E-5
A20030325_1200,6.831109101875744E-6
A20030325_1500,6.628664862678404E-6
A20030325_1800,7.246642820243019E-6
A20030325_2100,8.568952964978554E-6
A20030326_0000,3.281691108939349E-5
A20030326_0300,1.3388377909083143E-4
A20030326_0600,1.4578998034666307E-4
A20030326_0900,5.0354845312936035E-5
A20030326_1200,8.358692615286366E-6
A20030326_1500,3.1494167907138417E-6
A20030326_1800,2.3724504658686568E-6
A20030326_2100,6.176300199563101E-6
A20030327_0000,2.3331011701986826E-5
A20030327_0300,5.93106992622322E-5
A20030327_0600,6.0236162555460063E-5
A20030327_0900,2.8567125566658267E-5
A20030327_1200,1.1723237185596287E-5
A20030327_1500,9.754570893532899E-6
A20030327_1800,7.704929648285527E-6
A20030327_2100,1.086976050675637E-5
A20030328_0000,3.6536458662897495E-5
A20030328_0300,1.2176796054044157E-4
A20030328_0600,1.236825446739762E-4
A20030328_0900,5.490828748111578E-5
A20030328_1200,6.178231287919852E-6
A20030328_1500,4.89653748010447E-6
A20030328_1800,8.676971539920563E-6
A20030328_2100,7.287803669794029E-6
A20030329_0000,3.885621284002756E-5
A20030329_0300,1.2183972227130481E-4
A20030329_0600,8.9485553443791E-5
A20030329_0900,5.014815897743853E-5
A20030329_1200,8.313829846132317E-6
A20030329_1500,2.8770244798417116E-6
A20030329_1800,5.231878567291584E-6
A20030329_2100,2.505815831110021E-6
A20030330_0000,4.505198100217672E-5
A20030330_0300,1.5132089287607406E-4
A20030330_0600,1.242266201979878E-4
A20030330_0900,4.7500300337283E-5
A20030330_1200,4.978068488072879E-6
A20030330_1500,3.55586041184E-6
A20030330_1800,4.097206292249807E-6
A20030330_2100,4.6578494294679266E-6
A20030331_0000,3.6404620082804316E-5
A20030331_0300,1.5489571636832886E-4
A20030331_0600,1.4944737154078784E-4
